"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","333","Refresh user's tokens","LMS service","Fri Oct 24 22:23:57 GMT 2025","passed","Fri Oct 24 22:23:58 GMT 2025","Login","Authentication","",""
"","363","Get exercises","LMS service","Fri Oct 24 22:24:02 GMT 2025","passed","Fri Oct 24 22:24:02 GMT 2025","Get entities","Exercises","",""
"","11","Get file with incorrect file id","LMS service","Fri Oct 24 22:24:08 GMT 2025","passed","Fri Oct 24 22:24:08 GMT 2025","Validate entity","Files","",""
"","40","Update exercise","LMS service","Fri Oct 24 22:24:04 GMT 2025","passed","Fri Oct 24 22:24:04 GMT 2025","Update entity","Exercises","",""
"","301","Delete course","LMS service","Fri Oct 24 22:24:00 GMT 2025","passed","Fri Oct 24 22:24:00 GMT 2025","Delete entity","Courses","",""
"","14","Get current user","LMS service","Fri Oct 24 22:24:09 GMT 2025","passed","Fri Oct 24 22:24:09 GMT 2025","Get entity","Users","",""
"","558","Create user","LMS service","Fri Oct 24 22:24:07 GMT 2025","passed","Fri Oct 24 22:24:08 GMT 2025","Create entity","Users","",""
"","22","Get files","LMS service","Fri Oct 24 22:24:06 GMT 2025","passed","Fri Oct 24 22:24:06 GMT 2025","Get entities","Files","",""
"","21","Get file","LMS service","Fri Oct 24 22:24:05 GMT 2025","passed","Fri Oct 24 22:24:05 GMT 2025","Get entity","Files","",""
"","18","Delete exercise","LMS service","Fri Oct 24 22:24:05 GMT 2025","passed","Fri Oct 24 22:24:05 GMT 2025","Delete entity","Exercises","",""
"","308","Delete user","LMS service","Fri Oct 24 22:24:10 GMT 2025","passed","Fri Oct 24 22:24:11 GMT 2025","Delete entity","Users","",""
"","20","Get user","LMS service","Fri Oct 24 22:24:09 GMT 2025","passed","Fri Oct 24 22:24:09 GMT 2025","Get entity","Users","",""
"","547","Create user","LMS service","Fri Oct 24 22:24:08 GMT 2025","passed","Fri Oct 24 22:24:08 GMT 2025","Create entity","Users","",""
"","315","Create exercise","LMS service","Fri Oct 24 22:24:01 GMT 2025","passed","Fri Oct 24 22:24:02 GMT 2025","Create entity","Exercises","",""
"","255","Create file with empty filename","LMS service","Fri Oct 24 22:24:06 GMT 2025","passed","Fri Oct 24 22:24:06 GMT 2025","Validate entity","Files","",""
"","64","Create course","LMS service","Fri Oct 24 22:23:59 GMT 2025","passed","Fri Oct 24 22:23:59 GMT 2025","Create entity","Courses","",""
"","322","Update course","LMS service","Fri Oct 24 22:24:01 GMT 2025","passed","Fri Oct 24 22:24:01 GMT 2025","Update entity","Courses","",""
"","659","Get courses","LMS service","Fri Oct 24 22:23:59 GMT 2025","passed","Fri Oct 24 22:24:00 GMT 2025","Get entities","Courses","",""
"","258","Create file with empty directory","LMS service","Fri Oct 24 22:24:07 GMT 2025","passed","Fri Oct 24 22:24:07 GMT 2025","Validate entity","Files","",""
"","20","Get exercise","LMS service","Fri Oct 24 22:24:03 GMT 2025","passed","Fri Oct 24 22:24:03 GMT 2025","Get entity","Exercises","",""
"","63","Create file","LMS service","Fri Oct 24 22:24:04 GMT 2025","passed","Fri Oct 24 22:24:04 GMT 2025","Create entity","Files","",""
"","309","Get course","LMS service","Fri Oct 24 22:23:57 GMT 2025","passed","Fri Oct 24 22:23:58 GMT 2025","Get entity","Courses","",""
"","26","Update user","LMS service","Fri Oct 24 22:24:10 GMT 2025","passed","Fri Oct 24 22:24:10 GMT 2025","Update entity","Users","",""
"","577","Login user with valid credentials","LMS service","Fri Oct 24 22:23:57 GMT 2025","passed","Fri Oct 24 22:23:57 GMT 2025","Login","Authentication","",""
"","288","Create user","LMS service","Fri Oct 24 22:24:08 GMT 2025","passed","Fri Oct 24 22:24:08 GMT 2025","Create entity","Users","",""
