"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","Create user","LMS service","Sat Oct 25 12:13:43 GMT 2025","passed","Sat Oct 25 12:13:43 GMT 2025","Create entity","Users","",""
"","18","Get file","LMS service","Sat Oct 25 12:13:40 GMT 2025","passed","Sat Oct 25 12:13:40 GMT 2025","Get entity","Files","",""
"","288","Get course","LMS service","Sat Oct 25 12:13:33 GMT 2025","passed","Sat Oct 25 12:13:33 GMT 2025","Get entity","Courses","",""
"","57","Create course","LMS service","Sat Oct 25 12:13:34 GMT 2025","passed","Sat Oct 25 12:13:34 GMT 2025","Create entity","Courses","",""
"","20","Get files","LMS service","Sat Oct 25 12:13:41 GMT 2025","passed","Sat Oct 25 12:13:41 GMT 2025","Get entities","Files","",""
"","307","Create exercise","LMS service","Sat Oct 25 12:13:36 GMT 2025","passed","Sat Oct 25 12:13:37 GMT 2025","Create entity","Exercises","",""
"","345","Get exercises","LMS service","Sat Oct 25 12:13:37 GMT 2025","passed","Sat Oct 25 12:13:37 GMT 2025","Get entities","Exercises","",""
"","259","Create file with empty filename","LMS service","Sat Oct 25 12:13:41 GMT 2025","passed","Sat Oct 25 12:13:41 GMT 2025","Validate entity","Files","",""
"","62","Create file","LMS service","Sat Oct 25 12:13:39 GMT 2025","passed","Sat Oct 25 12:13:39 GMT 2025","Create entity","Files","",""
"","9","Get file with incorrect file id","LMS service","Sat Oct 25 12:13:43 GMT 2025","passed","Sat Oct 25 12:13:43 GMT 2025","Validate entity","Files","",""
"","298","Delete user","LMS service","Sat Oct 25 12:13:45 GMT 2025","passed","Sat Oct 25 12:13:46 GMT 2025","Delete entity","Users","",""
"","13","Get current user","LMS service","Sat Oct 25 12:13:44 GMT 2025","passed","Sat Oct 25 12:13:44 GMT 2025","Get entity","Users","",""
"","303","Login user with valid credentials","LMS service","Sat Oct 25 12:13:32 GMT 2025","passed","Sat Oct 25 12:13:32 GMT 2025","Login","Authentication","",""
"","21","Get user","LMS service","Sat Oct 25 12:13:44 GMT 2025","passed","Sat Oct 25 12:13:44 GMT 2025","Get entity","Users","",""
"","544","Create user","LMS service","Sat Oct 25 12:13:43 GMT 2025","passed","Sat Oct 25 12:13:43 GMT 2025","Create entity","Users","",""
"","257","Create file with empty directory","LMS service","Sat Oct 25 12:13:42 GMT 2025","passed","Sat Oct 25 12:13:42 GMT 2025","Validate entity","Files","",""
"","16","Get exercise","LMS service","Sat Oct 25 12:13:38 GMT 2025","passed","Sat Oct 25 12:13:38 GMT 2025","Get entity","Exercises","",""
"","299","Delete course","LMS service","Sat Oct 25 12:13:35 GMT 2025","passed","Sat Oct 25 12:13:35 GMT 2025","Delete entity","Courses","",""
"","40","Update exercise","LMS service","Sat Oct 25 12:13:39 GMT 2025","passed","Sat Oct 25 12:13:39 GMT 2025","Update entity","Exercises","",""
"","320","Refresh user's tokens","LMS service","Sat Oct 25 12:13:33 GMT 2025","passed","Sat Oct 25 12:13:33 GMT 2025","Login","Authentication","",""
"","558","Create user","LMS service","Sat Oct 25 12:13:42 GMT 2025","passed","Sat Oct 25 12:13:43 GMT 2025","Create entity","Users","",""
"","19","Update user","LMS service","Sat Oct 25 12:13:45 GMT 2025","passed","Sat Oct 25 12:13:45 GMT 2025","Update entity","Users","",""
"","19","Delete exercise","LMS service","Sat Oct 25 12:13:40 GMT 2025","passed","Sat Oct 25 12:13:40 GMT 2025","Delete entity","Exercises","",""
"","320","Update course","LMS service","Sat Oct 25 12:13:36 GMT 2025","passed","Sat Oct 25 12:13:36 GMT 2025","Update entity","Courses","",""
"","669","Get courses","LMS service","Sat Oct 25 12:13:34 GMT 2025","passed","Sat Oct 25 12:13:35 GMT 2025","Get entities","Courses","",""
