"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Update exercise","LMS service","Sat Oct 25 12:14:10 GMT 2025","passed","Sat Oct 25 12:14:10 GMT 2025","Update entity","Exercises","",""
"","35","Get course","LMS service","Sat Oct 25 12:14:05 GMT 2025","passed","Sat Oct 25 12:14:05 GMT 2025","Get entity","Courses","",""
"","20","Get files","LMS service","Sat Oct 25 12:14:13 GMT 2025","passed","Sat Oct 25 12:14:13 GMT 2025","Get entities","Files","",""
"","576","Refresh user's tokens","LMS service","Sat Oct 25 12:14:05 GMT 2025","passed","Sat Oct 25 12:14:06 GMT 2025","Login","Authentication","",""
"","28","Get user","LMS service","Sat Oct 25 12:14:17 GMT 2025","passed","Sat Oct 25 12:14:17 GMT 2025","Get entity","Users","",""
"","13","Create file with empty directory","LMS service","Sat Oct 25 12:14:14 GMT 2025","passed","Sat Oct 25 12:14:14 GMT 2025","Validate entity","Files","",""
"","56","Update course","LMS service","Sat Oct 25 12:14:08 GMT 2025","passed","Sat Oct 25 12:14:08 GMT 2025","Update entity","Courses","",""
"","515","Create user","LMS service","Sat Oct 25 12:14:14 GMT 2025","passed","Sat Oct 25 12:14:14 GMT 2025","Create entity","Users","",""
"","18","Delete exercise","LMS service","Sat Oct 25 12:14:12 GMT 2025","passed","Sat Oct 25 12:14:12 GMT 2025","Delete entity","Exercises","",""
"","11","Get current user","LMS service","Sat Oct 25 12:14:16 GMT 2025","passed","Sat Oct 25 12:14:16 GMT 2025","Get entity","Users","",""
"","486","Create user","LMS service","Sat Oct 25 12:14:14 GMT 2025","passed","Sat Oct 25 12:14:15 GMT 2025","Create entity","Users","",""
"","86","Get exercises","LMS service","Sat Oct 25 12:14:09 GMT 2025","passed","Sat Oct 25 12:14:09 GMT 2025","Get entities","Exercises","",""
"","8","Get file with incorrect file id","LMS service","Sat Oct 25 12:14:15 GMT 2025","passed","Sat Oct 25 12:14:15 GMT 2025","Validate entity","Files","",""
"","13","Get file","LMS service","Sat Oct 25 12:14:13 GMT 2025","passed","Sat Oct 25 12:14:13 GMT 2025","Get entity","Files","",""
"","32","Delete course","LMS service","Sat Oct 25 12:14:08 GMT 2025","passed","Sat Oct 25 12:14:08 GMT 2025","Delete entity","Courses","",""
"","302","Create file","LMS service","Sat Oct 25 12:14:12 GMT 2025","passed","Sat Oct 25 12:14:12 GMT 2025","Create entity","Files","",""
"","521","Create user","LMS service","Sat Oct 25 12:14:15 GMT 2025","passed","Sat Oct 25 12:14:15 GMT 2025","Create entity","Users","",""
"","545","Login user with valid credentials","LMS service","Sat Oct 25 12:14:04 GMT 2025","passed","Sat Oct 25 12:14:05 GMT 2025","Login","Authentication","",""
"","369","Get courses","LMS service","Sat Oct 25 12:14:06 GMT 2025","passed","Sat Oct 25 12:14:07 GMT 2025","Get entities","Courses","",""
"","260","Get exercise","LMS service","Sat Oct 25 12:14:11 GMT 2025","passed","Sat Oct 25 12:14:11 GMT 2025","Get entity","Exercises","",""
"","313","Create exercise","LMS service","Sat Oct 25 12:14:09 GMT 2025","passed","Sat Oct 25 12:14:09 GMT 2025","Create entity","Exercises","",""
"","51","Create course","LMS service","Sat Oct 25 12:14:07 GMT 2025","passed","Sat Oct 25 12:14:07 GMT 2025","Create entity","Courses","",""
"","19","Update user","LMS service","Sat Oct 25 12:14:17 GMT 2025","passed","Sat Oct 25 12:14:17 GMT 2025","Update entity","Users","",""
"","281","Delete user","LMS service","Sat Oct 25 12:14:17 GMT 2025","passed","Sat Oct 25 12:14:18 GMT 2025","Delete entity","Users","",""
"","247","Create file with empty filename","LMS service","Sat Oct 25 12:14:14 GMT 2025","passed","Sat Oct 25 12:14:14 GMT 2025","Validate entity","Files","",""
